2023-05-16 19:27, success, 1.300599
2023-05-16 19:31, success, 1.318840
2023-05-17 11:57, success, 1.191997
2023-05-17 04:02, success, 0.282279
2023-05-17 05:02, success, 0.274684
2023-05-17 06:02, success, 0.214644
2023-05-17 07:02, success, 0.271812
2023-05-17 08:02, success, 0.198191
2023-05-17 09:02, success, 0.283496
2023-05-17 10:02, success, 0.212102
2023-05-17 11:02, success, 0.130116
2023-05-17 12:02, success, 0.103093
2023-05-17 13:03, success, 0.281579
2023-05-17 18:05, success, 0.209258
2023-05-18 00:17, success, 0.135553
2023-05-18 06:05, success, 0.111251
2023-05-18 12:06, success, 0.144923
2023-05-18 18:05, success, 0.116116
2023-05-19 00:17, success, 0.377495
2023-05-19 06:05, success, 0.111288
2023-05-19 12:06, success, 0.335206
2023-05-19 18:05, success, 0.178590
2023-05-20 00:17, success, 0.288093
2023-05-20 06:05, success, 0.342425
2023-05-20 12:05, success, 0.375821
